party_name,party_abbr,S.No,Constituency,Winning Candidate,Total Votes,Margin,Status
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,1,TIRUTTANI(3),G.HARI,89169,5793,27/27
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,2,CHEYYUR(34),RAJASEKAR. E,63809,5668,22/22
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,3,MADURANTAKAM(35),MARAGATHAM KUMARAVEL.K,69284,7194,22/22
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,4,ARCOT(42),S.M.SUKUMAR,105608,42720,23/23
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,5,ANAIKATTU(44),D.VELAZHAGAN,76302,7081,23/23
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,6,JOLARPET(49),VEERAMANI K.C.,78633,16083,22/22
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,7,BARGUR(52),E.C. GOVINDARASAN,71240,4241,24/24
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,8,HOSUR(55),BALAKRISHNAREDDY. P,109867,27803,32/32
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,9,PALACODU(57),ANBALAGAN. K.P.,102807,39042,23/23
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,10,PAPPIREDDIPATTI(60),MARAGATHAM VETRIVEL,101829,33114,25/25
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,11,HARUR(61),SAMPATHKUMAR. V,75523,3329,23/23
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,12,CHENGAM(62),S.VELU,87802,13278,25/25
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,13,KILPENNATHUR(64),RAMACHANDRAN.S,90503,30465,23/23
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,14,KALASAPAKKAM(65),AGRI KRISHNAMURTHY. S S,89629,26740,24/24
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,15,ARANI(67),JAYASUDHA. L,76735,5631,25/25
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,16,CHEYYAR(68),MUKKUR N. SUBRAMANIAN,86680,21081,24/24
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,17,MAILAM(71),SHANMUGAM C VE,82353,30041,21/21
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,18,TIRUKKOYILUR(76),PALANISAMY S,73033,285,24/24
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,19,SANKARAPURAM(79),RAKESH R,80250,3440,25/25
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,20,GANGAVALLI(81),NALLATHAMBI. A,73167,14404,22/22
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,21,ATTUR(82),JAYASANKARAN. A.P.,80843,15318,23/23
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,22,YERCAUD(83),USHARANI. P,87772,2189,25/25
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,23,OMALUR(84),MANI. R,112246,14539,26/26
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,24,METTUR(85),VENKATACHALAM. G,86498,19105,30/30
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,25,EDAPPADI(86),EDAPPADI PALANISWAMI. K,148933,98110,25/25
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,26,SANKARI(87),VETRIVEL. S,87342,9517,25/25
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,27,PARAMATHI-VELUR(95),SEKAR S,61349,308,20/20
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,28,DHARAPURAM(101),SATHYABAMA.P,81100,16727,24/24
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,29,KANGAYAM(102),NSN NATARAJ,71122,8133,24/24
All India Anna Dravida Munnetra Kazhagam - ADMK,ADMK,30,PERUNDURAI(103),JAYAKUMAR. S,70302,9693,22/22
